,drug_id,identifier
11526,19540,ARRY-502
11527,19545,INCB-057643
11528,19545,INCB057643
11529,19550,PT-2385
11530,19555,GZ-389988
11531,19555,GZ389988
11532,19560,OBI-3424
11533,19560,TH-3424
11534,19565,AK-106
11535,19565,AK106
11536,19565,AK106-001616
11537,19570,IDE-196
11538,19570,IDE196
11539,19570,LXS-196
11540,19570,LXS196
11541,19575,V-116517
11542,19575,V116517
11543,19580,CT-7001
11544,19580,CT7001
11545,19580,ICEC-0942
11546,19580,ICEC0942
11547,19585,Ro 24-7429
11548,19585,RO-24-7429
11549,19590,2X-121
11550,19590,E-7449
11551,19590,E7449
11552,19595,LY-3200882
11553,19595,LY3200882
11554,19600,GT-0918
11555,19605,CCX-140
11556,19605,CCX140
11557,19610,TAK-831
11558,19615,BTRX-335140
11559,19615,CYM-53093
11560,19620,SP-420
11561,19625,KZR-616
11562,19630,FF 10502
11563,19630,FF-10502
11564,19635,ORP-101
11565,19640,AZD 8529
11566,19640,AZD-8529
11567,19640,AZD8529
11568,19645,LY-2828360
11569,19645,LY2828360
11570,19655,GSK-2245035
11571,19655,GSK2245035
11572,19660,ACA-125
11573,19660,MEN-2234
11574,19665,DWP-14012
11575,19665,DWP14012
11576,19670,ZGN-1061
11577,19675,SCH-57068
11578,19675,SCH57068
11579,19680,LHA-510
11580,19680,LHA510
11581,19685,OBI-822
11582,19700,AGN-210961
11583,19705,NGM-282
11584,19705,NGM282
11585,19710,AST-2818
11586,19710,AST2818
11587,19715,MCN 4366
11588,19715,MCN-4366
11589,19720,RB-007
11590,19720,RB007
11591,19725,ANTI-CD166-DM4 CX-2009
11592,19725,CX 2009
11593,19725,CX-2009
11594,19730,EMB-01
11595,19730,EMB01
11596,19730,FIT-013a
11597,19735,FAP-IL2V FP RO6874281
11598,19735,RG-7461
11599,19735,RG7461
11600,19735,RO-6874281
11601,19735,RO6874281
11602,19750,APG-1387
11603,19750,SM-1387
11604,19755,SRK-015
11605,19760,BAY 44-9585
11606,19760,BAY-449585
11607,19765,AGN-241689
11608,19765,MK-8031
11609,19770,GZ-402666
11610,19770,GZ402666
11611,19780,NSC-661431
11612,19785,UP 256
11613,19790,T-138067
11614,19790,T-67
11615,19790,T138067
11616,19790,T67
11617,19790,TL 057
11618,19790,TL-057
11619,19795,HBM-9161
11620,19795,HBM9161
11621,19795,HL161BKN
11622,19800,FPA-144
11623,19805,GSK-2256098
11624,19805,GSK2256098
11625,19810,BI 2536
11626,19810,BI-2536
11627,19815,TAK 715
11628,19815,TAK-715
11629,19820,GED-0507-34-Levo
11630,19820,GED-0507-34L
11631,19825,GSK-232802
11632,19825,GSK232802
11633,19830,CR-6086
11634,19830,CR6086
11635,19835,OT 730
