drug_id,region,max_phase,marketed_prescription,marketed_prescription_started_on,marketed_prescription_ended_on,generic_available,generic_available_on,mixture_available,mixture_available_on,marketed_otc,marketed_otc_started_on,marketed_otc_ended_on,marketed_unapproved,marketed_unapproved_started_on,marketed_unapproved_ended_on,pre_market_cancelled,pre_market_cancelled_on,post_market_cancelled,post_market_cancelled_on
22,th,4,0,,,0,,0,,0,,,0,,,0,,0,
22,us,4,1,19-Jan-2001,,0,,0,,0,,,0,,,0,,0,
23,ca,4,1,31-Dec-1974,07-Jul-2021,0,,0,,0,,,0,,,0,,1,07-Jul-2021
23,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
23,th,4,0,,,0,,0,,0,,,0,,,0,,0,
23,us,4,1,10-Jan-1978,,0,,0,,0,,,0,,,0,,0,
24,ca,4,1,12-Aug-2002,,0,,0,,0,,,0,,,0,,0,
24,eu,4,1,23-Dec-2020,,0,,0,,0,,,0,,,0,,0,
24,th,4,0,,,0,,0,,0,,,0,,,0,,0,
24,us,4,1,30-Nov-1998,,0,,0,,0,,,0,,,0,,0,
25,ca,4,1,31-Dec-1992,,0,,0,,0,,,0,,,0,,0,
25,eu,4,1,07-Sep-2016,,0,,0,,0,,,0,,,0,,0,
25,th,4,0,,,0,,0,,0,,,0,,,0,,0,
25,us,4,1,18-Aug-2000,,0,,0,,0,,,0,,,0,,0,
26,ca,4,1,29-May-2002,,0,,0,,0,,,0,,,0,,0,
26,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
26,th,0,0,,,0,,0,,0,,,0,,,0,,0,
26,us,4,1,15-Dec-2009,,0,,0,,0,,,0,,,0,,0,
27,ca,4,1,31-Dec-1959,,1,,1,,1,31-Dec-1971,,0,,,0,,0,
27,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
27,th,4,0,,,0,,1,,1,11-Apr-1984,,0,,,0,,0,
27,us,4,1,11-Apr-1955,,1,,1,,0,,,0,,,0,,0,
28,ca,4,1,31-Dec-1951,,0,,1,,0,,,0,,,0,,0,
28,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
28,th,4,0,,,0,,0,,0,,,0,,,0,,0,
28,us,4,1,07-Jun-1984,,0,,1,,0,,,0,,,0,,0,
29,ca,4,1,15-Dec-1997,23-Feb-2009,0,,0,,0,,,0,,,0,,1,23-Feb-2009
29,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
29,th,0,0,,,0,,0,,0,,,0,,,0,,0,
29,us,0,0,,,0,,0,,0,,,0,,,0,,0,
30,ca,4,1,31-Dec-1980,,0,,1,,0,,,0,,,0,,0,
30,eu,4,1,07-Sep-2016,,0,,0,,0,,,0,,,0,,0,
30,th,4,0,,,0,,1,,0,,,0,,,0,,0,
30,us,4,1,25-Jun-1991,,0,,1,,1,27-Jun-1983,,0,,,0,,0,
31,ca,4,1,18-Oct-2001,,0,,0,,0,,,0,,,0,,0,
31,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
31,th,4,0,,,0,,0,,0,,,0,,,0,,0,
31,us,4,1,02-Jun-2000,,0,,1,,0,,,0,,,0,,0,
32,ca,4,1,28-Aug-2003,,0,,0,,0,,,0,,,0,,0,
32,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
32,th,4,0,,,0,,0,,0,,,0,,,0,,0,
32,us,4,0,,,0,,0,,0,,,0,,,1,,0,
33,ca,3,0,,,0,,0,,0,,,0,,,0,,0,
33,eu,3,0,,,0,,0,,0,,,0,,,0,,0,
33,th,0,0,,,0,,0,,0,,,0,,,0,,0,
33,us,4,1,25-Feb-1999,,0,,0,,0,,,0,,,0,,0,
34,ca,4,1,31-Dec-1989,14-Jul-2005,0,,0,,0,,,0,,,0,,1,14-Jul-2005
34,eu,3,0,,,0,,0,,0,,,0,,,0,,0,
34,th,0,0,,,0,,0,,0,,,0,,,0,,0,
34,us,4,1,04-Jun-1986,31-Oct-2008,0,,0,,0,,,0,,,0,,1,31-Oct-2008
35,ca,4,1,31-Dec-1989,,1,,0,,0,,,0,,,0,,0,
35,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
35,th,4,0,,,0,,0,,0,,,0,,,0,,0,
35,us,4,1,21-Feb-1978,,1,,0,,0,,,0,,,0,,0,
36,ca,4,1,05-Aug-1999,,0,,0,,0,,,0,,,0,,0,
36,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
36,th,4,0,,,0,,0,,0,,,0,,,0,,0,
36,us,4,1,30-Apr-2008,,0,,0,,0,,,0,,,0,,0,
38,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
38,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
38,th,0,0,,,0,,0,,0,,,0,,,0,,0,
38,us,4,1,01-Nov-1997,30-Apr-2017,0,,0,,0,,,0,,,0,,1,30-Apr-2017
39,ca,4,1,14-Mar-2006,30-Jan-2016,0,,0,,0,,,0,,,0,,1,30-Jan-2016
39,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
39,th,0,0,,,0,,0,,0,,,0,,,0,,0,
39,us,4,1,15-Dec-2004,,0,,0,,0,,,0,,,0,,0,
40,ca,4,1,31-Dec-1961,,0,,0,,0,,,0,,,0,,0,
40,eu,4,1,16-Dec-2020,,0,,0,,0,,,0,,,0,,0,
40,th,4,0,,,0,,0,,0,,,0,,,0,,0,
40,us,4,1,01-Mar-1999,,1,,1,,0,,,0,,,0,,0,
41,ca,4,1,31-Dec-1995,,0,,0,,0,,,0,,,0,,0,
41,eu,4,0,,,0,,0,,0,,,0,,,1,,0,
41,th,0,0,,,0,,0,,0,,,0,,,0,,0,
41,us,4,1,05-May-1992,,0,,0,,0,,,0,,,0,,0,
42,ca,4,0,,,0,,0,,0,,,0,,,1,,0,
42,eu,4,1,17-Dec-2020,,0,,0,,0,,,0,,,0,,0,
42,th,0,0,,,0,,0,,0,,,0,,,0,,0,
42,us,4,1,08-Dec-2000,,0,,0,,0,,,0,,,0,,0,
43,ca,4,1,03-Feb-2005,,0,,0,,0,,,0,,,0,,0,
43,eu,4,1,16-Dec-2020,,0,,0,,0,,,0,,,0,,0,
43,th,4,0,,,0,,0,,0,,,0,,,0,,0,
43,us,4,1,20-Jun-2003,,0,,0,,0,,,0,,,0,,0,
44,ca,4,1,28-Jun-2005,,0,,1,,0,,,0,,,0,,0,
44,eu,4,1,20-Sep-2016,,0,,1,,0,,,0,,,0,,0,
44,th,4,0,,,0,,1,,0,,,0,,,0,,0,
44,us,4,1,08-Oct-2004,30-Nov-2014,0,,0,,0,,,0,,,0,,1,30-Nov-2014
45,ca,0,0,,,0,,0,,0,,,0,,,0,,0,
45,eu,0,0,,,0,,0,,0,,,0,,,0,,0,
45,th,0,0,,,0,,0,,0,,,0,,,0,,0,
45,us,0,0,,,0,,0,,0,,,0,,,0,,0,
46,ca,4,1,15-Nov-1996,,0,,1,,0,,,0,,,0,,0,
46,eu,4,1,08-Sep-2016,,0,,0,,0,,,0,,,0,,0,
46,th,4,0,,,0,,0,,0,,,0,,,0,,0,
46,us,4,1,14-Jun-1996,,0,,0,,0,,,0,,,0,,0,
47,ca,4,1,24-Jul-2002,,0,,1,,0,,,0,,,0,,0,
