drug_id,country,number,approved_on,expires_on,ped_extension
1276,United States,6872700,29-Mar-2005,14-Jan-2020,0
1276,United States,6956026,18-Oct-2005,07-Jan-2018,0
1276,United States,7741269,22-Jun-2010,07-Jan-2018,0
1276,United States,7297761,20-Nov-2007,15-Oct-2017,0
1276,United States,7521423,21-Apr-2009,15-Oct-2017,0
1276,United States,6902744,07-Jun-2005,14-Jan-2020,0
1276,United States,9238076,19-Jan-2016,15-Oct-2024,1
1276,United States,8906851,09-Dec-2014,18-Feb-2027,1
1276,United States,7612176,03-Nov-2009,13-Oct-2025,1
1276,United States,8431685,30-Apr-2013,13-Oct-2025,1
1276,United States,8461105,11-Jun-2013,13-Oct-2025,1
1276,United States,8329648,11-Dec-2012,18-Feb-2027,1
1276,United States,7456254,25-Nov-2008,30-Dec-2025,1
1276,United States,7563871,21-Jul-2009,15-Oct-2024,1
1276,United States,6824822,30-Nov-2004,09-Apr-2023,1
1276,United States,6479065,12-Nov-2002,10-Aug-2020,0
1276,United States,7223440,29-May-2007,03-Mar-2022,1
1276,United States,8685934,01-Apr-2014,26-May-2030,0
1276,United States,8501698,06-Aug-2013,20-Dec-2027,1
1276,United States,6414126,02-Jul-2002,04-Oct-2020,0
1276,United States,6515117,04-Feb-2003,04-Apr-2026,1
1276,United States,6936590,30-Aug-2005,04-Oct-2020,0
1276,United States,9198925,01-Dec-2015,04-Oct-2020,0
1276,United States,7919598,05-Apr-2011,16-Dec-2029,0
1276,United States,8361972,29-Jan-2013,21-Sep-2028,1
1276,United States,8716251,06-May-2014,21-Mar-2028,0
1276,United States,7851502,14-Dec-2010,19-Aug-2028,0
1276,United States,8221786,17-Jul-2012,21-Mar-2028,0
1276,United States,9320853,26-Apr-2016,25-Sep-2028,1
1276,United States,8827963,09-Sep-2014,04-Aug-2029,1
1276,United States,8712615,29-Apr-2014,18-Jan-2030,0
1276,United States,8998876,07-Apr-2015,07-Jul-2030,1
1276,United States,8758292,24-Jun-2014,12-May-2028,1
1276,United States,8690837,08-Apr-2014,19-Nov-2029,1
1276,United States,8895033,25-Nov-2014,04-Apr-2031,1
1276,United States,8721615,13-May-2014,18-Jul-2030,1
1276,United States,9884092,06-Feb-2018,18-Feb-2027,1
1277,United States,5200509,06-Apr-1993,06-Apr-2010,0
1277,United States,5681814,28-Oct-1997,18-Sep-2017,0
1278,United States,6610824,26-Aug-2003,03-Mar-2011,0
1278,United States,5686411,11-Nov-1997,16-Mar-2019,0
1278,United States,5814600,29-Sep-1998,29-Sep-2015,0
1278,United States,6114304,05-Sep-2000,05-Sep-2017,0
1280,United States,5492897,20-Feb-1996,20-Feb-2013,0
1280,United States,5424295,13-Jun-1995,13-Jun-2017,0
1281,Canada,2110518,22-May-2007,16-Jun-2012,0
1306,United States,5618913,08-Apr-1997,07-Jun-2014,0
1306,United States,8672898,18-Mar-2014,02-Jul-2022,1
1306,United States,8684969,01-Apr-2014,20-Apr-2026,1
1306,United States,9132239,15-Sep-2015,01-Aug-2032,1
1306,United States,8920383,30-Dec-2014,17-Jan-2027,1
1306,United States,7686786,30-Mar-2010,03-Aug-2026,0
1306,United States,6899699,31-May-2005,01-Jul-2022,1
1306,United States,5866538,02-Feb-1999,20-Dec-2017,1
1306,United States,9108002,18-Aug-2015,26-Jul-2026,1
1306,United States,RE41956,23-Nov-2010,21-Jul-2021,1
1306,United States,9265893,23-Feb-2016,23-Mar-2033,1
1306,United States,6004297,21-Dec-1999,28-Jul-2019,1
1306,United States,RE43834,27-Nov-2012,28-Jan-2019,0
1306,United States,7615532,10-Nov-2009,28-Dec-2029,1
1306,United States,9486588,08-Nov-2016,02-Jul-2022,1
1306,United States,9457154,04-Oct-2016,27-Mar-2028,1
1306,United States,RE46363,11-Apr-2017,03-Feb-2027,1
1306,United States,9687611,27-Jun-2017,27-Aug-2027,1
1306,United States,9775953,03-Oct-2017,17-Jan-2027,1
1306,United States,8324157,04-Dec-2012,25-Jun-2030,0
1306,United States,9884094,06-Feb-2018,01-May-2033,0
1306,United States,9861757,09-Jan-2018,20-Jul-2026,1
1306,United States,9616180,11-Apr-2017,20-Jul-2026,1
1306,United States,8579869,12-Nov-2013,30-Dec-2023,1
1306,United States,7762994,27-Jul-2010,23-Nov-2024,1
1306,United States,10220155,05-Mar-2019,17-Jan-2027,1
1306,United States,10357616,23-Jul-2019,20-Jan-2026,0
1306,United States,10376652,13-Aug-2019,20-Jan-2026,0
1307,United States,6011007,04-Jan-2000,02-Feb-2014,0
1307,Canada,2171424,04-Jun-2002,16-Sep-2014,0
1307,United States,8672898,18-Mar-2014,02-Jul-2022,1
1307,United States,8684969,01-Apr-2014,20-Apr-2026,1
1307,United States,9132239,15-Sep-2015,01-Aug-2032,1
1307,United States,8920383,30-Dec-2014,17-Jan-2027,1
1307,United States,7686786,30-Mar-2010,03-Aug-2026,0
1307,United States,6899699,31-May-2005,01-Jul-2022,1
1307,United States,5866538,02-Feb-1999,20-Dec-2017,1
1307,United States,9108002,18-Aug-2015,26-Jul-2026,1
1307,United States,RE41956,23-Nov-2010,21-Jul-2021,1
